Código,Descripción,GRUPO,Clasificación Sistemas JMC,SEGMENTO,Clasificación Partes JMC,TIPO
A000,"Cólera debido a Vibrio cholerae O1, biotipo cholerae",19.0,3.0,26.0,51.0,13.0
A001,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",19.0,3.0,26.0,51.0,13.0
A009,COLERA NO ESPECIFICADO,19.0,3.0,26.0,51.0,13.0
A010,FIEBRE TIFOIDEA,19.0,3.0,26.0,51.0,13.0
A011,FIEBRE PARATIFOIDEA A,19.0,3.0,26.0,51.0,13.0
A012,FIEBRE PARATIFOIDEA B,19.0,3.0,26.0,51.0,13.0
A013,FIEBRE PARATIFOIDEA C,19.0,3.0,26.0,51.0,13.0
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",19.0,3.0,26.0,51.0,13.0
A020,ENTERITIS DEBIDA A SALMONELLA,19.0,3.0,26.0,51.0,13.0
A021,SEPTICEMIA DEBIDA A SALMONELLA,19.0,3.0,26.0,51.0,13.0
A022,INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA,19.0,3.0,26.0,51.0,13.0
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,19.0,3.0,26.0,51.0,13.0
A029,INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA,19.0,3.0,26.0,51.0,13.0
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,19.0,3.0,26.0,51.0,13.0
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,19.0,3.0,26.0,51.0,13.0
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,19.0,3.0,26.0,51.0,13.0
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,19.0,3.0,26.0,51.0,13.0
A038,OTRAS SHIGELOSIS,19.0,3.0,26.0,51.0,13.0
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,19.0,3.0,26.0,51.0,13.0
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,19.0,3.0,26.0,51.0,13.0
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,19.0,3.0,26.0,51.0,13.0
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,19.0,3.0,26.0,51.0,13.0
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,19.0,3.0,26.0,51.0,13.0
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,19.0,3.0,26.0,51.0,13.0
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,19.0,3.0,26.0,51.0,13.0
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,19.0,3.0,26.0,51.0,13.0
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,19.0,3.0,26.0,51.0,13.0
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,19.0,3.0,26.0,51.0,13.0
A049,"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA",19.0,3.0,26.0,51.0,13.0
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,19.0,3.0,26.0,51.0,13.0
A051,BOTULISMO,19.0,3.0,26.0,51.0,13.0
A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],19.0,3.0,26.0,51.0,13.0
A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,19.0,3.0,26.0,51.0,13.0
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,19.0,3.0,26.0,51.0,13.0
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,19.0,3.0,26.0,51.0,13.0
A059,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",19.0,3.0,26.0,51.0,13.0
A060,DISENTERIA AMEBIANA AGUDA,19.0,3.0,26.0,51.0,13.0
A061,AMEBIASIS INTESTINAL CRONICA,19.0,3.0,26.0,51.0,13.0
A062,COLITIS AMEBIANA NO DISENTERICA,19.0,3.0,26.0,51.0,13.0
A063,AMEBOMA INTESTINAL,19.0,3.0,26.0,51.0,13.0
A064,ABSCESO AMEBIANO DEL HIGADO,19.0,3.0,26.0,51.0,13.0
A065,ABSCESO AMEBIANO DEL PULMON (J99.8*),19.0,3.0,26.0,51.0,13.0
A066,ABSCESO AMEBIANO DEL CEREBRO (G07*),19.0,3.0,26.0,51.0,13.0
A067,AMEBIASIS CUTANEA,19.0,3.0,26.0,51.0,13.0
A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,19.0,3.0,26.0,51.0,13.0
A069,"AMEBIASIS, NO ESPECIFICADA",19.0,3.0,26.0,51.0,13.0
A070,BALANTIDIASIS,19.0,3.0,26.0,51.0,13.0
A071,GIARDIASIS [LAMBLIASIS],19.0,3.0,26.0,51.0,13.0
A072,CRIPTOSPORIDIOSIS,19.0,3.0,26.0,51.0,13.0
A073,ISOSPORIASIS,19.0,3.0,26.0,51.0,13.0
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,19.0,3.0,26.0,51.0,13.0
A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",19.0,3.0,26.0,51.0,13.0
A080,ENTERITIS DEBIDA A ROTAVIRUS,19.0,3.0,26.0,51.0,13.0
A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,19.0,3.0,26.0,51.0,13.0
A082,ENTERITIS DEBIDA A ADENOVIRUS,19.0,3.0,26.0,51.0,13.0
A083,OTRAS ENTERITIS VIRALES,19.0,3.0,26.0,51.0,13.0
A084,"INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION",19.0,3.0,26.0,51.0,13.0
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,19.0,3.0,26.0,51.0,13.0
